System Code,System Name,Reading Status^ Number Tested,Reading Status^ % Below Grade Level (Lexile < 1010L),Reading Status^ % Grade Level  or Above (Lexile ≥ 1010L),English Language Arts Number Tested,English Language Arts Mean Scale Score,English Language Arts Standard Deviation,English Language Arts % Beginning Learner,English Language Arts % Developing Learner,English Language Arts % Proficient Learner,English Language Arts % Distinguished Learner,English Language Arts % Developing Learner & Above,English Language Arts % Proficient Learner & Above,SGP English Language Arts Number Received SGP,SGP English Language Arts SGP Median,SGP English Language Arts % SGP Low Growth,SGP English Language Arts % SGP Typical Growth,SGP English Language Arts % SGP High Growth,Mathematics Number Tested,Mathematics Mean Scale Score,Mathematics Standard Deviation,Mathematics % Beginning Learner,Mathematics % Developing Learner,Mathematics % Proficient Learner,Mathematics % Distinguished Learner,Mathematics % Developing Learner & Above,Mathematics % Proficient Learner & Above,SGP Mathematics Number Received SGP,SGP Mathematics SGP Median,SGP Mathematics % SGP Low Growth,SGP Mathematics % SGP Low Growth.1,SGP Mathematics % SGP Low Growth.2,Science Number Tested,Science Mean Scale Score,Science Standard Deviation,Science % Beginning Learner,Science % Developing Learner,Science % Proficient Learner,Science % Distinguished Learner,Science % Developing Learner & Above,Science % Proficient Learner & Above,HS Physical Science Number Tested,HS Physical Science Mean Scale Score,HS Physical Science Standard Deviation,HS Physical Science % Beginning Learner,HS Physical Science % Developing Learner,HS Physical Science % Proficient Learner,HS Physical Science % Distinguished Learner,HS Physical Science % Developing Learner & Above,HS Physical Science % Proficient Learner & Above,Social Studies Number Tested,Social Studies Mean Scale Score,Social Studies Standard Deviation,Social Studies % Beginning Learner,Social Studies % Developing Learner,Social Studies % Proficient Learner,Social Studies % Distinguished Learner,Social Studies % Developing Learner & Above,Social Studies % Proficient Learner & Above,RESA  RESAName_RPT
616,BULLOCH COUNTY,788.0,27.538071065989847,72.46192893401015,788.0,515.3895939086294,55.27254172465754,23.85786802030457,34.263959390862944,29.695431472081218,12.182741116751268,76.14213197969544,41.878172588832484,743.0,55,30.686406460296098,28.263795423956932,41.049798115746974,,,,,,,,,,,,,,,685,490.2131386861314,60.037231160074064,44.23357664233577,25.985401459854014,25.547445255474454,4.233576642335766,55.76642335766423,29.78102189781022,102,582.4509803921569,58.128506912366134,1.9607843137254901,11.764705882352942,54.90196078431372,31.372549019607842,98.03921568627452,86.27450980392157,785.0,506.99490445859874,50.89753085830134,30.191082802547772,33.63057324840764,24.840764331210192,11.337579617834395,69.80891719745223,36.17834394904459,FIRST DISTRICT
617,BURKE COUNTY,286.0,36.71328671328671,63.28671328671329,286.0,499.15034965034965,46.77660740025207,30.41958041958042,40.20979020979021,25.524475524475523,3.8461538461538463,69.58041958041959,29.37062937062937,268.0,54,31.34328358208955,30.970149253731343,37.6865671641791,,,,,,,,,,,,,,,261,473.2107279693487,53.101405528322935,55.93869731800766,27.586206896551722,13.793103448275861,2.681992337164751,44.06130268199234,16.47509578544061,22,524.2272727272727,44.06589418476641,9.090909090909092,40.90909090909091,45.45454545454545,4.545454545454546,90.9090909090909,50,285.0,481.5052631578947,40.13196725984528,47.719298245614034,33.68421052631579,17.19298245614035,1.4035087719298245,52.280701754385966,18.596491228070175,CENTRAL SAVANNAH RIV
618,BUTTS COUNTY,242.0,31.40495867768595,68.59504132231405,242.0,511.90909090909093,52.74490398385,24.793388429752067,33.88429752066116,30.165289256198346,11.15702479338843,75.20661157024793,41.32231404958678,236.0,50,30.508474576271187,32.6271186440678,36.86440677966102,,,,,,,,,,,,,,,201,485.4925373134328,62.07899156743647,49.75124378109453,25.37313432835821,17.91044776119403,6.965174129353234,50.24875621890547,24.875621890547265,41,556.609756097561,43.78577283135498,4.878048780487805,21.951219512195124,58.53658536585366,14.634146341463415,95.1219512195122,73.17073170731707,242.0,498.1528925619835,44.681135983322896,39.66942148760331,31.818181818181817,22.727272727272727,5.785123966942149,60.33057851239669,28.512396694214875,GRIFFIN
619,CALHOUN COUNTY,40.0,57.5,42.5,40.0,476.025,46.37223279462586,47.5,40,10,2.5,52.5,12.5,36.0,46.5,22.22222222222222,52.77777777777778,25,,,,,,,,,,,,,,,41,463.6585365853659,48.11736160477712,73.17073170731707,12.195121951219512,14.634146341463415,0,26.829268292682926,14.634146341463415,,,,,,,,,,41.0,471.9756097560976,27.94860265279649,56.09756097560975,39.02439024390244,4.878048780487805,0,43.90243902439025,4.878048780487805,SOUTHWEST GEORGIA
620,CAMDEN COUNTY,721.0,19.41747572815534,80.58252427184466,721.0,531.6380027739251,48.93664439757219,13.730929264909847,28.571428571428573,41.19278779472954,16.50485436893204,86.26907073509015,57.697642163661584,658.0,52,32.21884498480243,31.458966565349545,36.32218844984803,,,,,,,,,,,,,,,571,519.5639229422067,67.52899853789404,28.721541155866902,24.86865148861646,33.80035026269702,12.609457092819614,71.2784588441331,46.40980735551664,146,589.6712328767123,52.75357279471661,0.684931506849315,8.904109589041095,54.794520547945204,35.61643835616438,99.31506849315069,90.41095890410959,716.0,522.2011173184358,50.142134189995105,17.318435754189945,36.312849162011176,30.446927374301676,15.921787709497206,82.68156424581005,46.36871508379888,OKEFENOKEE
621,CANDLER COUNTY,166.0,36.74698795180723,63.25301204819277,166.0,508.7168674698795,52.570973254407804,24.698795180722893,36.74698795180723,27.710843373493976,10.843373493975903,75.3012048192771,38.55421686746988,160.0,53,31.25,32.5,36.25,,,,,,,,,,,,,,,166,481.31325301204816,52.726263413940174,48.19277108433735,34.93975903614458,14.457831325301205,2.4096385542168677,51.80722891566265,16.867469879518072,,,,,,,,,,166.0,495.0301204819277,45.49397891546916,40.963855421686745,33.13253012048193,21.08433734939759,4.819277108433735,59.036144578313255,25.903614457831324,FIRST DISTRICT
622,CARROLL COUNTY,1186.0,32.715008431703204,67.28499156829679,1186.0,511.9055649241147,53.1963596298304,24.873524451939293,34.822934232715006,29.342327150084316,10.961214165261383,75.12647554806071,40.3035413153457,1102.0,42,41.74228675136116,29.85480943738657,28.40290381125227,,,,,,,,,,,,,,,988,480.97975708502025,55.422331673864925,52.63157894736842,24.39271255060729,19.939271255060728,3.0364372469635628,47.36842105263158,22.975708502024293,196,562.6020408163265,53.142042807577745,3.061224489795918,20.408163265306122,54.59183673469388,21.93877551020408,96.93877551020408,76.53061224489795,1183.0,505.5257819103973,47.4936006344876,28.82502113271344,36.68639053254438,26.035502958579883,8.4530853761623,71.17497886728655,34.48858833474218,WEST GEORGIA
623,CATOOSA COUNTY,760.0,19.473684210526315,80.52631578947368,760.0,528.7631578947369,51.21912120845439,14.210526315789474,31.973684210526315,36.973684210526315,16.842105263157894,85.78947368421052,53.81578947368421,723.0,49,36.376210235131396,31.3969571230982,32.2268326417704,,,,,,,,,,,,,,,711,521.196905766526,67.04606817717107,28.129395218002813,23.066104078762308,35.30239099859353,13.50210970464135,71.87060478199719,48.80450070323488,56,606.4107142857143,71.12671836191423,0,10.714285714285714,39.285714285714285,50,100,89.28571428571429,767.0,516.4432855280313,48.26876565123759,19.947848761408082,36.50586701434159,31.029986962190353,12.516297262059974,80.05215123859192,43.54628422425033,NORTHWEST GEORGIA
624,CHARLTON COUNTY,122.0,22.950819672131146,77.04918032786885,122.0,523.4016393442623,47.538528929990356,11.475409836065573,41.80327868852459,34.42622950819672,12.295081967213115,88.52459016393442,46.721311475409834,113.0,63,29.20353982300885,27.43362831858407,43.36283185840708,,,,,,,,,,,,,,,122,505.60655737704917,62.9162577863267,35.24590163934426,29.508196721311474,27.049180327868854,8.19672131147541,64.75409836065573,35.24590163934426,,,,,,,,,,122.0,520.3196721311475,48.24220339413786,15.573770491803279,36.0655737704918,33.60655737704918,14.754098360655737,84.42622950819673,48.36065573770492,OKEFENOKEE
625,SAVANNAH-CHATHAM COUNTY,2530.0,37.15415019762846,62.84584980237154,2530.0,501.1545454545454,54.42944135021828,31.027667984189723,35.65217391304348,25.49407114624506,7.826086956521739,68.97233201581028,33.3201581027668,2266.0,60,28.46425419240953,27.58164165931156,43.95410414827891,,,,,,,,,,,,,,,2083,464.7465194431109,57.280517759751014,65.43446951512242,18.72299567930869,12.962073931829092,2.8804608737397985,34.56553048487758,15.84253480556889,428,516.9766355140187,68.20436583090643,31.542056074766354,25.700934579439252,33.177570093457945,9.57943925233645,68.45794392523365,42.757009345794394,2502.0,490.31534772182255,45.63917289585727,42.5259792166267,32.653876898481215,20.863309352517987,3.9568345323741005,57.4740207833733,24.820143884892087,FIRST DISTRICT
