System Code,System Name,Reading Status^ Number Tested,Reading Status^ % Below Grade Level (Lexile < 925L),Reading Status^ % Grade Level  or Above (Lexile ≥ 925L),English Language Arts Number Tested,English Language Arts Mean Scale Score,English Language Arts Standard Deviation,English Language Arts % Beginning Learner,English Language Arts % Developing Learner,English Language Arts % Proficient Learner,English Language Arts % Distinguished Learner,English Language Arts % Developing Learner & Above,English Language Arts % Proficient Learner & Above,SGP English Language Arts Number Received SGP,SGP English Language Arts SGP Median,SGP English Language Arts % SGP Low Growth,SGP English Language Arts % SGP Typical Growth,SGP English Language Arts % SGP High Growth,Mathematics Number Tested,Mathematics Mean Scale Score,Mathematics Standard Deviation,Mathematics % Beginning Learner,Mathematics % Developing Learner,Mathematics % Proficient Learner,Mathematics % Distinguished Learner,Mathematics % Developing Learner & Above,Mathematics % Proficient Learner & Above,SGP Mathematics Number Received SGP,SGP Mathematics SGP Median,SGP Mathematics % SGP Low Growth,SGP Mathematics % SGP Low Growth.1,SGP Mathematics % SGP Low Growth.2
743,TWIGGS COUNTY,51.0,43.13725490196079,56.86274509803921,51.0,500.5882352941176,54.07741727212506,37.254901960784316,29.41176470588235,31.372549019607842,1.9607843137254901,62.745098039215684,33.333333333333336,45.0,40,46.666666666666664,22.22222222222222,31.11111111111111,,,,,,,,,,,,,,
744,UNION COUNTY,224.0,36.607142857142854,63.392857142857146,224.0,512.7008928571429,62.22211622950602,26.339285714285715,30.357142857142858,36.160714285714285,7.142857142857143,73.66071428571429,43.30357142857143,213.0,42,43.66197183098591,30.985915492957748,25.35211267605634,,,,,,,,,,,,,,
745,THOMASTON-UPSON COUNTY,298.0,56.711409395973156,43.288590604026844,298.0,481.5134228187919,60.361661029593925,48.32214765100671,26.845637583892618,21.140939597315437,3.6912751677852347,51.67785234899329,24.83221476510067,287.0,36,46.34146341463415,31.010452961672474,22.64808362369338,,,,,,,,,,,,,,
746,WALKER COUNTY,563.0,42.45115452930728,57.54884547069272,563.0,504.0426287744227,59.58428010626526,30.550621669627,30.905861456483127,33.214920071047956,5.328596802841918,69.44937833037301,38.54351687388988,507.0,56,31.36094674556213,29.585798816568047,39.053254437869825,,,,,,,,,,,,,,
747,WALTON COUNTY,1105.0,36.83257918552036,63.16742081447964,1105.0,513.3257918552036,61.61698484587259,27.692307692307693,26.968325791855204,37.37556561085973,7.963800904977376,72.3076923076923,45.339366515837106,1053.0,44,39.6011396011396,30.864197530864196,29.5346628679962,,,,,,,,,,,,,,
748,WARE COUNTY,416.0,47.11538461538461,52.88461538461539,416.0,494.0504807692308,58.350497667813904,37.25961538461539,32.69230769230769,26.201923076923077,3.8461538461538463,62.74038461538461,30.048076923076923,385.0,38,47.01298701298701,32.20779220779221,20.77922077922078,,,,,,,,,,,,,,
749,WARREN COUNTY,57.0,68.42105263157895,31.57894736842105,57.0,467.1578947368421,43.145016875683424,59.64912280701754,31.57894736842105,7.017543859649122,1.7543859649122806,40.35087719298246,8.771929824561404,50.0,54,34,30,36,,,,,,,,,,,,,,
750,WASHINGTON COUNTY,186.0,58.064516129032256,41.935483870967744,186.0,479.60215053763443,61.34054517068358,50,27.956989247311828,19.35483870967742,2.6881720430107525,50,22.043010752688172,181.0,42,38.67403314917127,37.01657458563536,24.30939226519337,,,,,,,,,,,,,,
751,WAYNE COUNTY,343.0,40.816326530612244,59.183673469387756,343.0,495.9067055393586,58.86343135933799,34.11078717201166,32.94460641399417,30.32069970845481,2.623906705539359,65.88921282798835,32.94460641399417,319.0,42,42.00626959247649,28.84012539184953,29.153605015673982,,,,,,,,,,,,,,
752,WEBSTER COUNTY,21.0,52.38095238095238,47.61904761904762,21.0,485.4761904761905,59.307351186525814,42.857142857142854,19.047619047619047,38.095238095238095,0,57.142857142857146,38.095238095238095,21.0,48,28.571428571428573,57.142857142857146,14.285714285714286,,,,,,,,,,,,,,
753,WHEELER COUNTY,52.0,40.38461538461539,59.61538461538461,52.0,505.6730769230769,57.14814636962572,25,34.61538461538461,38.46153846153846,1.9230769230769231,75,40.38461538461539,52.0,38,44.23076923076923,28.846153846153847,26.923076923076923,,,,,,,,,,,,,,
754,WHITE COUNTY,298.0,41.61073825503356,58.38926174496644,298.0,509.5469798657718,58.92790328410532,30.201342281879196,28.523489932885905,33.89261744966443,7.382550335570469,69.79865771812081,41.2751677852349,288.0,41.5,42.013888888888886,31.25,26.73611111111111,,,,,,,,,,,,,,
755,WHITFIELD COUNTY,832.0,44.23076923076923,55.76923076923077,832.0,508.7536057692308,60.50199635877105,29.447115384615383,30.76923076923077,32.57211538461539,7.211538461538462,70.55288461538461,39.78365384615385,800.0,51,33.875,29.875,36.25,,,,,,,,,,,,,,
756,WILCOX COUNTY,71.0,49.29577464788732,50.70422535211268,71.0,498.6056338028169,55.79361941841419,39.436619718309856,26.760563380281692,28.169014084507044,5.633802816901408,60.563380281690144,33.80281690140845,67.0,28,58.208955223880594,22.388059701492537,19.402985074626866,,,,,,,,,,,,,,
757,WILKES COUNTY,103.0,55.33980582524272,44.66019417475728,103.0,484.22330097087377,60.360182310896064,46.601941747572816,33.980582524271846,14.563106796116505,4.854368932038835,53.398058252427184,19.41747572815534,98.0,52.5,27.551020408163264,31.632653061224488,40.816326530612244,,,,,,,,,,,,,,
758,WILKINSON COUNTY,68.0,51.470588235294116,48.529411764705884,68.0,481.8235294117647,56.99880626570647,44.11764705882353,32.35294117647059,20.58823529411765,2.9411764705882355,55.88235294117647,23.529411764705884,61.0,50,31.147540983606557,32.78688524590164,36.0655737704918,,,,,,,,,,,,,,
759,WORTH COUNTY,223.0,50.672645739910315,49.327354260089685,223.0,491.7982062780269,56.79383925170271,34.97757847533632,38.11659192825112,22.42152466367713,4.484304932735426,65.02242152466367,26.905829596412556,216.0,39.5,45.370370370370374,32.870370370370374,21.75925925925926,,,,,,,,,,,,,,
761,ATLANTA PUBLIC SCHOOLS,3550.0,50.394366197183096,49.605633802816904,3550.0,495.26,72.1044900586359,41.267605633802816,25.35211267605634,24.450704225352112,8.929577464788732,58.732394366197184,33.38028169014085,3352.0,51,33.53221957040573,30.90692124105012,35.56085918854415,,,,,,,,,,,,,,
